;Species;tax.id;Genus;Family;Order;Class;Phylum;Kingdom;Domain;DemersPelag
321;Pateobatis fai;335001;Pateobatis;Dasyatidae;Myliobatiformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
322;Pempheris oualensis;490270;Pempheris;Pempheridae;Pempheriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
323;Pervagor aspricaudus;586845;Pervagor;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
324;Pervagor marginalis;2589314;Pervagor;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
325;Plagiotremus tapeinosoma;879520;Plagiotremus;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
326;Platax orbicularis;75032;Platax;Ephippidae;Ephippiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
327;Platybelone argala;129059;Platybelone;Belonidae;Beloniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
328;Plectorhinchus picus;586849;Plectorhinchus;Haemulidae;Lutjaniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
329;Plectranthias fourmanoiri;1316455;Plectranthias;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
330;Plectroglyphidodon dickii;80987;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
331;Plectroglyphidodon imparipennis;997974;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
332;Plectroglyphidodon johnstonianus;997975;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
